current_density,cell_voltage,power_density,pressure,relative_humidity
65.1,0.887,57.7,,
44.7,0.931,41.6,,
36.4,0.961,35,,
2720,0.239,651,,
2620,0.289,756,,
2500,0.339,847,,
2370,0.389,920,,
2210,0.439,968,,
2020,0.488,985,,
1800,0.539,968,,
1550,0.589,911,,
1270,0.639,810,,
973,0.688,670,,
670,0.739,495,,
398,0.789,314,,
194,0.839,163,,
81.4,0.889,72.4,,
54.8,0.934,51.2,,
40.6,0.985,40,,
36.6,0.996,36.4,,
46,0.947,43.6,,
73.2,0.898,65.8,,
141,0.848,120,,
355,0.794,282,,
666,0.744,496,,
1010,0.694,700,,
1360,0.644,877,,
1710,0.594,1010,,
2030,0.544,1100,,
2330,0.494,1150,,
2600,0.444,1150,,
2830,0.394,1120,,
3020,0.344,1040,,
3180,0.294,934,,
3300,0.244,807,,
37,1,36.9,,
49.3,0.95,46.8,,
75.1,0.902,67.8,,
102,0.852,86.5,,
188,0.802,151,,
361,0.749,270,,
618,0.7,433,,
957,0.65,622,,
1290,0.6,771,,
1620,0.549,891,,
1960,0.499,976,,
2260,0.449,1010,,
2510,0.399,1000,,
2730,0.349,953,,
2920,0.299,872,,
3080,0.249,767,,
36.5,0.993,36.3,,
72.5,0.945,68.5,,
80.4,0.899,72.2,,
163,0.847,138,,
388,0.791,307,,
673,0.741,498,,
993,0.691,686,,
1330,0.641,852,,
1650,0.591,975,,
1960,0.541,1060,,
2240,0.491,1100,,
2500,0.44,1100,,
2730,0.39,1070,,
2930,0.341,996,,
3100,0.291,900,,
3250,0.24,780,,
36.7,1,36.7,,
65.2,0.954,62.1,,
92.3,0.899,83,,
228,0.849,194,,
486,0.799,388,,
768,0.748,575,,
960,0.698,670,,
1050,0.649,680,,
1130,0.598,676,,
1190,0.549,654,,
1240,0.499,618,,
1270,0.449,570,,
1290,0.399,514,,
1310,0.349,455,,
1320,0.299,395,,
1340,0.247,330,,
36.1,0.983,35.5,,
65.1,0.933,60.8,,
96.9,0.886,85.9,,
202,0.83,168,,
410,0.781,320,,
684,0.731,500,,
1010,0.68,687,,
1340,0.63,844,,
1660,0.58,963,,
1970,0.531,1040,,
2260,0.48,1080,,
2510,0.43,1080,,
2740,0.38,1040,,
2930,0.331,969,,
3110,0.28,869,,
3260,0.23,750,,
36.7,0.982,36,,
73.8,0.935,69,,
91.7,0.888,81.4,,
217,0.832,181,,
486,0.782,380,,
836,0.732,613,,
1220,0.682,832,,
1600,0.632,1010,,
1970,0.582,1150,,
2320,0.532,1240,,
2660,0.482,1280,,
2980,0.432,1290,,
3260,0.382,1240,,
3500,0.332,1160,,
3710,0.282,1050,,
3890,0.232,902,,
36.4,1.01,36.6,,
72.1,0.959,69.1,,
113,0.909,103,,
282,0.854,241,,
553,0.804,444,,
802,0.753,604,,
931,0.703,654,,
984,0.653,643,,
1050,0.604,632,,
1100,0.554,609,,
1140,0.504,573,,
1160,0.454,528,,
1180,0.404,476,,
1190,0.354,421,,
1210,0.304,366,,
1210,0.265,321,,
